DateTime,Symbol,O1_Open,C3_Close,Diff,Diff_%,Direction
2026-07-15 09:45:54,NSE-NIFTY-21Jul26-24250-CE,127.75,132.95,5.2,4.0705,CE
2026-07-15 09:46:39,NSE-NIFTY-21Jul26-24250-CE,127.35,132.25,4.9,3.8477,CE
2026-07-15 09:48:46,NSE-NIFTY-21Jul26-24150-PE,139.0,140.75,1.75,1.259,PE
2026-07-15 09:50:29,NSE-NIFTY-21Jul26-24300-CE,107.55,106.8,-0.75,-0.6974,PE
2026-07-15 09:51:15,NSE-NIFTY-21Jul26-24250-CE,131.2,130.6,-0.6,-0.4573,PE
2026-07-15 09:51:58,NSE-NIFTY-21Jul26-24250-CE,131.2,132.15,0.95,0.7241,CE
2026-07-15 09:54:01,NSE-NIFTY-21Jul26-24250-CE,132.9,130.15,-2.75,-2.0692,PE
2026-07-15 09:55:25,NSE-NIFTY-21Jul26-24100-PE,120.85,117.45,-3.4,-2.8134,CE
2026-07-15 09:57:30,NSE-NIFTY-21Jul26-24150-PE,139.05,142.1,3.05,2.1935,PE
2026-07-15 09:59:50,NSE-NIFTY-21Jul26-24350-CE,86.1,82.0,-4.1,-4.7619,PE
2026-07-15 10:00:34,NSE-NIFTY-21Jul26-24200-CE,148.75,144.15,-4.6,-3.0924,PE
2026-07-15 10:01:19,NSE-NIFTY-21Jul26-24200-CE,150.8,145.45,-5.35,-3.5477,PE
2026-07-15 10:02:43,NSE-NIFTY-21Jul26-24200-CE,145.35,144.0,-1.35,-0.9288,PE
2026-07-15 10:04:07,NSE-NIFTY-21Jul26-24150-PE,147.4,141.75,-5.65,-3.8331,CE
2026-07-15 10:04:53,NSE-NIFTY-21Jul26-24150-PE,147.4,143.6,-3.8,-2.578,CE
2026-07-15 10:07:38,NSE-NIFTY-21Jul26-24150-PE,143.75,140.6,-3.15,-2.1913,CE
2026-07-15 10:08:23,NSE-NIFTY-21Jul26-24200-CE,146.4,150.5,4.1,2.8005,CE
2026-07-15 10:09:07,NSE-NIFTY-21Jul26-24200-CE,147.0,152.5,5.5,3.7415,CE
2026-07-15 10:09:51,NSE-NIFTY-21Jul26-24200-CE,147.0,150.4,3.4,2.3129,CE
2026-07-15 10:12:48,NSE-NIFTY-21Jul26-24250-PE,188.1,186.9,-1.2,-0.638,CE
2026-07-15 10:13:33,NSE-NIFTY-21Jul26-24200-CE,148.7,150.5,1.8,1.2105,CE
